batch,code,strength,size,start,api_code,api_batch,smcc_batch,lactose_batch,starch_batch,api_water,api_total_impurities,api_l_impurity,api_content,api_ps01,api_ps05,api_ps09,lactose_water,lactose_sieve0045,lactose_sieve015,lactose_sieve025,smcc_water,smcc_td,smcc_bd,smcc_ps01,smcc_ps05,smcc_ps09,starch_ph,starch_water,tbl_min_thickness,tbl_max_thickness,fct_min_thickness,fct_max_thickness,tbl_min_weight,tbl_max_weight,tbl_rsd_weight,fct_rsd_weight,tbl_min_hardness,tbl_max_hardness,tbl_av_hardness,fct_min_hardness,fct_max_hardness,fct_av_hardness,tbl_max_diameter,fct_max_diameter,tbl_tensile,fct_tensile,tbl_yield,batch_yield,dissolution_av,dissolution_min,resodual_solvent,impurities_total,impurity_o,impurity_l,tbl_speed_mean,tbl_speed_change,tbl_speed_0_duration,total_waste,startup_waste,weekend,fom_mean,fom_change,SREL_startup_mean,SREL_production_mean,SREL_production_max,main_CompForce mean,main_CompForce_sd,main_CompForce_median,pre_CompForce_mean,tbl_fill_mean,tbl_fill_sd,cyl_height_mean,stiffness_mean,stiffness_max,stiffness_min,ejection_mean,ejection_max,ejection_min,Startup_tbl_fill_maxDifference,Startup_main_CompForce_mean,Startup_tbl_fill_mean,Drug release average (%),Drug release min (%),Residual solvent,Total impurities,Impurity O,Impurity L,Batch Size (tablets),Normalisation factor
1,25,5MG,240000,nov.18,5,2,1,2,1,1.53,0.25,0.13,94.5,1.27,18.52,109.999,0.05,17,50,82,4.251,0.45,0.33,31.156,112.141,245.499,4.4,3.012,3.3,3.4,3.4,3.4,111.0,116.0,0.92,0.72,56.84,68.6,46,37.0,56.0,62.72,6.1,6.1,1.412698315,1.926183442,95.785,94.697,93.83,86,0.06,0.33,0.05,0.16,99.86465621,5.416666667,149.5833333,2125.416667,5085,no,49.96144578,12,4.392,3.559875776,7.1,4.255403727,0.058473468,4.3,0.1,5.332248447,0.095937572,2.099465839,91.01614907,103,67,223.3192547,248,196,0.38,4.5875,5.466666667,93.83,86.0,0.06,0.33,0.05,0.16,240000,2.4
2,25,5MG,240000,nov.18,5,2,1,2,1,1.53,0.25,0.13,94.5,1.27,18.52,109.999,0.05,17,50,82,4.251,0.45,0.33,31.156,112.141,245.499,4.4,3.012,3.3,3.4,3.4,3.4,112.0,116.0,0.89,0.8,56.84,70.56,46,39.0,56.0,64.68,6.1,6.1,1.412698315,1.986376675,98.467,97.348,99.67,92,0.04,0.34,0.06,0.16,99.93634204,2.5,128.3333333,887.5,2115,no,49.96204033,5,9.258333333,3.494945848,8.8,4.251022864,0.056787817,4.2,0.099277978,5.299530686,0.099699047,2.105270758,88.22382671,103,77,215.9638989,252,194,0.18,4.390909091,5.315454545,99.67,92.0,0.04,0.34,0.06,0.16,240000,2.4
3,25,5MG,240000,nov.18,5,2,1,2,1,1.53,0.25,0.13,94.5,1.27,18.52,109.999,0.05,17,50,82,4.251,0.45,0.33,31.156,112.141,245.499,4.4,3.012,3.3,3.4,3.4,3.4,111.0,115.0,0.83,0.78,58.8,70.56,46,39.0,57.0,65.66,6.1,6.1,1.412698315,2.016473291,98.496,99.242,97.33,92,0.03,0.28,0.05,0.16,99.98598351,2.5,83.33333333,796.25,1895,no,49.96117647,6,7.2,3.392133492,8.7,4.261263409,0.054521796,4.3,0.00476758,5.311096544,0.107813987,2.113003576,88.96781883,111,72,212.5303933,248,184,0.12,4.43,5.242,97.33,92.0,0.03,0.28,0.05,0.16,240000,2.4
4,25,5MG,240000,nov.18,5,2,1,2,1,1.53,0.25,0.13,94.5,1.27,18.52,109.999,0.05,17,50,82,4.251,0.45,0.33,31.156,112.141,245.499,4.4,3.012,3.3,3.4,3.4,3.4,110.0,117.0,0.53,0.88,58.8,72.52,48,57.0,40.0,63.7,6.1,6.1,1.474119981,1.956280058,97.736,98.106,94.5,89,0.03,0.3,0.05,0.18,99.97686833,2.916666667,76.25,695.8333333,1645,no,49.96090047,9,7.122222222,3.416047904,9.0,4.35760479,0.062704912,4.4,0.0,5.309988024,0.115553614,2.104526946,101.4311377,121,83,225.9389222,262,197,0.24,4.5,5.22125,94.5,89.0,0.03,0.3,0.05,0.18,240000,2.4
5,25,5MG,240000,nov.18,5,2,1,2,1,1.53,0.25,0.13,94.5,1.27,18.52,109.999,0.05,17,50,82,4.251,0.45,0.33,31.156,112.141,245.499,4.4,3.012,3.3,3.4,3.4,3.4,112.0,115.0,0.75,0.69,56.84,68.6,47,39.0,59.0,62.72,6.1,6.1,1.443409148,1.926183442,98.106,98.106,92.0,88,0.04,0.31,0.05,0.18,99.96828402,2.5,121.25,829.1666667,1971,no,50.0,5,14.45,3.460359281,9.8,4.249461078,0.056974662,4.2,0.0,5.319628743,0.103193521,2.126347305,108.9784431,132,91,237.3053892,264,205,0.19,3.96,5.233,92.0,88.0,0.04,0.31,0.05,0.18,240000,2.4
6,25,5MG,240000,nov.18,5,2,1,2,1,1.53,0.25,0.13,94.5,1.27,18.52,109.999,0.05,17,50,82,4.251,0.45,0.33,31.156,112.141,245.499,4.4,3.012,3.3,3.4,3.4,3.4,112.0,116.0,0.57,0.72,58.8,70.56,49,43.0,55.0,65.66,6.1,6.1,1.504830814,2.016473291,98.099,97.727,97.67,94,0.07,0.33,0.05,0.2,99.97676647,2.5,97.91666667,780.8333333,1853,no,49.9223417,7,8.458333333,3.405454545,9.2,4.456,0.061264982,4.5,0.0,5.358581818,0.107666335,2.12,108.4739394,130,87,235.270303,264,206,0.23,4.53,5.3,97.67,94.0,0.07,0.33,0.05,0.2,240000,2.4
7,25,5MG,240000,nov.18,5,2,1,2,1,1.53,0.25,0.13,94.5,1.27,18.52,109.999,0.05,17,50,82,4.251,0.45,0.33,31.156,112.141,245.499,4.4,3.012,3.3,3.4,3.4,3.4,112.0,115.0,0.55,0.69,61.74,75.46,47,40.0,54.0,67.62,6.1,6.1,1.443409148,2.076666523,98.864,98.864,95.17,88,0.07,0.32,0.05,0.19,99.94490521,3.333333333,105.0,403.3333333,947,no,49.96094675,6,11.7125,3.360692951,8.6,4.254719235,0.057602198,4.3,0.0,5.344014337,0.10639207,2.14,104.4492234,126,84,221.5567503,249,186,0.3,4.4,5.304285714,95.17,88.0,0.07,0.32,0.05,0.19,240000,2.4
8,25,5MG,240000,nov.18,5,2,1,2,1,1.53,0.25,0.13,94.5,1.27,18.52,109.999,0.05,17,50,82,4.251,0.45,0.33,31.156,112.141,245.499,4.4,3.012,3.3,3.4,3.4,3.4,112.0,116.0,0.68,0.8,62.72,82.32,47,39.0,57.0,68.6,6.1,6.1,1.443409148,2.10676314,98.868,99.242,96.5,90,0.07,0.32,0.05,0.19,100.0,2.916666667,120.8333333,405.4166667,928,no,49.96226415,6,2.9,3.330595238,9.4,4.251785714,0.059169072,4.3,0.0,5.331321429,0.105822356,2.14,101.1511905,121,85,219.4904762,244,187,0.24,4.214285714,5.321428571,96.5,90.0,0.07,0.32,0.05,0.19,240000,2.4
9,25,5MG,240000,nov.18,5,2,1,2,1,1.53,0.25,0.13,94.5,1.27,18.52,109.999,0.05,17,50,82,4.251,0.45,0.33,31.156,112.141,245.499,4.4,3.012,3.3,3.4,3.3,3.4,111.0,115.0,0.93,0.86,62.72,74.48,50,39.0,59.0,66.64,6.1,6.1,1.535541647,2.046569907,96.591,96.591,95.0,91,0.04,0.36,0.05,0.18,99.90986763,3.333333333,122.5,777.5,1832,no,49.96153846,8,7.73,3.428467153,9.5,4.360705596,0.057142585,4.4,0.0,5.336970803,0.070328595,2.12406326,100.3272506,120,80,219.7749392,246,192,0.21,4.322222222,5.264444444,95.0,91.0,0.04,0.36,0.05,0.18,240000,2.4
10,25,5MG,240000,nov.18,5,2,1,2,1,1.53,0.25,0.13,94.5,1.27,18.52,109.999,0.05,17,50,82,4.251,0.45,0.33,31.156,112.141,245.499,4.4,3.012,3.3,3.4,3.3,3.4,110.0,116.0,0.87,1.01,58.8,74.48,47,41.0,57.0,67.62,6.1,6.1,1.443409148,2.076666523,98.496,99.242,92.17,89,0.08,0.32,0.05,0.19,99.82497096,5.416666667,122.0833333,962.5,2245,no,49.96287703,7,14.92142857,3.389504717,10.1,4.152948113,0.059440819,4.2,0.0,5.303408019,0.12017525,2.137441038,104.5448113,134,86,216.0247642,252,189,0.18,3.792307692,5.209230769,92.17,89.0,0.08,0.32,0.05,0.19,240000,2.4
