target,model,feature,importance
batch_yield,LightGBM,batch,26.0
batch_yield,LightGBM,code,12.0
batch_yield,LightGBM,strength,2.0
batch_yield,LightGBM,size,6.0
batch_yield,LightGBM,api_code,2.0
batch_yield,LightGBM,api_batch,27.0
batch_yield,LightGBM,lactose_batch,36.0
batch_yield,LightGBM,starch_batch,26.0
batch_yield,LightGBM,smcc_ps01,6.0
batch_yield,LightGBM,smcc_ps05,18.0
batch_yield,LightGBM,starch_water,6.0
batch_yield,LightGBM,tbl_min_thickness,6.0
batch_yield,LightGBM,tbl_max_thickness,8.0
batch_yield,LightGBM,fct_min_thickness,9.0
batch_yield,LightGBM,fct_max_thickness,2.0
batch_yield,LightGBM,tbl_max_weight,14.0
batch_yield,LightGBM,tbl_max_diameter,5.0
batch_yield,LightGBM,fct_max_diameter,1.0
batch_yield,LightGBM,tbl_yield,207.0
batch_yield,LightGBM,tbl_speed_mean,42.0
batch_yield,LightGBM,tbl_speed_change,13.0
batch_yield,LightGBM,tbl_speed_0_duration,19.0
batch_yield,LightGBM,total_waste,13.0
batch_yield,LightGBM,startup_waste,35.0
batch_yield,LightGBM,fom_mean,25.0
batch_yield,LightGBM,main_CompForce_sd,15.0
batch_yield,LightGBM,Batch Size (tablets),9.0
batch_yield,LightGBM,Normalisation factor,0.0
batch_yield,LightGBM,speed_efficiency,17.0
batch_yield,LightGBM,normalized_yield,146.0
batch_yield,CatBoost,batch,2.290500661326696
batch_yield,CatBoost,code,0.6930168252362497
batch_yield,CatBoost,strength,0.2967672864567428
batch_yield,CatBoost,size,0.1492584948901037
batch_yield,CatBoost,api_code,2.1230099229776895
batch_yield,CatBoost,api_batch,1.306740071123895
batch_yield,CatBoost,lactose_batch,1.1254231819811837
batch_yield,CatBoost,starch_batch,1.5479153873707865
batch_yield,CatBoost,smcc_ps01,1.2372885395307283
batch_yield,CatBoost,smcc_ps05,3.06727991691233
batch_yield,CatBoost,starch_water,0.5362182679168986
batch_yield,CatBoost,tbl_min_thickness,0.07388657987566358
batch_yield,CatBoost,tbl_max_thickness,0.5912275776391238
batch_yield,CatBoost,fct_min_thickness,0.6548263333598396
batch_yield,CatBoost,fct_max_thickness,0.9997997401238641
batch_yield,CatBoost,tbl_max_weight,0.39253002527198494
batch_yield,CatBoost,tbl_max_diameter,0.7708816581582619
batch_yield,CatBoost,fct_max_diameter,1.5221107879922167
batch_yield,CatBoost,tbl_yield,61.79140793104235
batch_yield,CatBoost,tbl_speed_mean,0.7781929643223725
batch_yield,CatBoost,tbl_speed_change,1.4228027388701356
batch_yield,CatBoost,tbl_speed_0_duration,0.5858739038085276
batch_yield,CatBoost,total_waste,2.1814024316561254
batch_yield,CatBoost,startup_waste,2.8970713440220517
batch_yield,CatBoost,fom_mean,2.223190465819173
batch_yield,CatBoost,main_CompForce_sd,0.773910922021769
batch_yield,CatBoost,Batch Size (tablets),0.18466958430729308
batch_yield,CatBoost,Normalisation factor,0.6514432032006559
batch_yield,CatBoost,speed_efficiency,1.6141697745023993
batch_yield,CatBoost,normalized_yield,5.517183478282876
